result_city,result_postcode,result_status,operator_name,2G,3G,4G
Abbeville,80100,ok,bouygues,1,1,0
Abbeville,80100,ok,bouygues,1,1,1
Abbeville,80100,ok,free,0,1,1
Abbeville,80100,ok,orange,0,1,1
Abbeville,80100,ok,orange,1,0,0
Abbeville,80100,ok,orange,1,1,0
Abbeville,80100,ok,orange,1,1,1
Abbeville,80100,ok,sfr,1,1,1
Ablain-Saint-Nazaire,62153,ok,bouygues,1,1,1
Ablain-Saint-Nazaire,62153,ok,free,0,1,1
Ablis,78660,ok,bouygues,1,1,1
Ablis,78660,ok,sfr,1,1,1
Abscon,59215,ok,bouygues,1,1,0
Abscon,59215,ok,bouygues,1,1,1
Abscon,59215,ok,free,0,1,0
Abscon,59215,ok,free,0,1,1
Achen,57412,ok,sfr,1,1,1
Achenheim,67204,ok,orange,1,1,0
Achicourt,62217,ok,sfr,1,1,1
Achiet-le-Grand,62121,ok,orange,1,1,0
Achiet-le-Grand,62121,ok,sfr,1,1,1
Achères,18250,ok,free,0,1,1
Achères,78260,ok,bouygues,1,1,1
Achères,78260,ok,free,0,1,0
Achères,78260,ok,orange,1,1,0
Achères,78260,ok,sfr,1,1,1
Acigné,35690,ok,sfr,1,1,1
Acq,62144,ok,sfr,0,1,0
Acy,2200,ok,sfr,1,1,0
Adainville,78113,ok,orange,1,1,1
Adé,65100,ok,sfr,1,1,1
Agde,34300,ok,bouygues,1,1,0
Agde,34300,ok,free,0,1,1
Agde,34300,ok,orange,1,0,0
Agde,34300,ok,orange,1,1,1
Agen,47000,ok,bouygues,1,1,1
Agen,47000,ok,free,0,1,1
Agen,47000,ok,orange,0,1,0
Agen,47000,ok,orange,1,1,0
Agen,47000,ok,orange,1,1,1
Agen,47000,ok,sfr,1,1,0
Agen,47000,ok,sfr,1,1,1
Agnac,47800,ok,orange,1,1,0
Agneaux,50180,ok,orange,1,1,1
Agnos,64400,ok,bouygues,1,1,1
Agny,62217,ok,bouygues,1,1,0
Agny,62217,ok,bouygues,1,1,1
Agny,62217,ok,sfr,1,1,0
Agny,62217,ok,sfr,1,1,1
Agonac,24460,ok,orange,1,1,1
Agonac,24460,ok,sfr,1,1,0
Agris,16110,ok,sfr,1,1,1
Aiffres,79230,ok,orange,1,1,0
Aigondigné,79370,ok,sfr,1,1,1
Aigre,16140,ok,bouygues,1,1,0
Aigre,16140,ok,orange,1,1,1
Aigrefeuille-d'Aunis,17290,ok,bouygues,1,1,0
Aigrefeuille-d'Aunis,17290,ok,sfr,1,1,1
Aiguefonde,81200,ok,orange,1,1,0
Aigueperse,63260,ok,bouygues,1,1,0
Aigueperse,63260,ok,free,0,1,1
Aigueperse,63260,ok,orange,1,1,0
Aigues-Mortes,30220,ok,orange,1,1,0
Aigues-Vives,30670,ok,sfr,1,1,1
Aiguillon,47190,ok,sfr,1,1,1
Aigurande,36140,ok,orange,0,1,1
Aigurande,36140,ok,sfr,1,1,1
Ailleux,42130,ok,orange,1,1,0
Ailleux,42130,ok,orange,1,1,1
Ailleville,10200,ok,orange,1,1,0
Ailleville,10200,ok,orange,1,1,1
Aillianville,52700,ok,bouygues,1,1,1
Aimargues,30470,ok,free,0,1,0
Airaines,80270,ok,free,0,1,1
Aire-sur-l'Adour,40800,ok,free,0,1,1
Aire-sur-l'Adour,40800,ok,sfr,1,1,1
Aire-sur-la-Lys,62120,ok,bouygues,1,0,0
Aire-sur-la-Lys,62120,ok,bouygues,1,1,1
Aire-sur-la-Lys,62120,ok,free,0,1,1
Aire-sur-la-Lys,62120,ok,orange,0,0,0
Aire-sur-la-Lys,62120,ok,orange,1,1,0
Aire-sur-la-Lys,62120,ok,orange,1,1,1
Aire-sur-la-Lys,62120,ok,sfr,0,1,0
Airvault,79600,ok,bouygues,1,1,0
Airvault,79600,ok,bouygues,1,1,1
Airvault,79600,ok,free,0,1,0
Airvault,79600,ok,sfr,1,1,1
Aix-Villemaur-Pâlis,10190,ok,bouygues,1,1,1
Aix-en-Provence,13100,ok,bouygues,1,1,1
Aix-en-Provence,13100,ok,free,0,1,0
Aix-en-Provence,13100,ok,orange,0,1,0
Aix-en-Provence,13100,ok,orange,1,1,0
Aix-en-Provence,13100,ok,orange,1,1,1
Aix-en-Provence,13100,ok,sfr,0,0,1
Aix-en-Provence,13100,ok,sfr,1,1,0
Aix-en-Provence,13100,ok,sfr,1,1,1
Aix-en-Provence,13540,ok,sfr,1,1,1
Aix-les-Bains,73100,ok,sfr,1,1,1
Ajaccio,20000,ok,bouygues,0,1,0
Ajaccio,20000,ok,bouygues,1,0,0
Ajaccio,20000,ok,bouygues,1,1,0
Ajaccio,20000,ok,bouygues,1,1,1
Ajaccio,20000,ok,free,0,1,0
Ajaccio,20000,ok,free,0,1,1
Ajaccio,20000,ok,orange,0,0,0
Ajaccio,20000,ok,orange,0,1,0
Ajaccio,20000,ok,orange,1,1,0
Ajaccio,20000,ok,orange,1,1,1
Ajaccio,20000,ok,sfr,0,0,1
Ajaccio,20000,ok,sfr,0,1,0
Ajaccio,20000,ok,sfr,1,1,1
Ajaccio,20090,ok,bouygues,1,0,0
Ajaccio,20090,ok,bouygues,1,1,0
Ajaccio,20090,ok,bouygues,1,1,1
Ajaccio,20090,ok,free,0,1,1
Ajaccio,20090,ok,orange,0,0,0
Ajaccio,20090,ok,orange,0,1,0
Ajaccio,20090,ok,orange,1,1,1
Ajaccio,20090,ok,sfr,1,0,1
Ajaccio,20090,ok,sfr,1,1,0
Ajaccio,20090,ok,sfr,1,1,1
Ajaccio,20167,ok,bouygues,1,1,1
Ajaccio,20167,ok,free,0,1,0
Ajaccio,20167,ok,free,0,1,1
Ajaccio,20167,ok,orange,1,1,1
Ajaccio,20167,ok,sfr,1,1,1
Alba-la-Romaine,7400,ok,bouygues,1,1,1
Albert,80300,ok,sfr,1,1,0
Albert,80300,ok,sfr,1,1,1
Albertville,73200,ok,bouygues,1,1,1
Albertville,73200,ok,free,0,1,1
Albertville,73200,ok,orange,1,1,1
Albertville,73200,ok,sfr,1,1,1
Albias,82350,ok,orange,1,1,1
Alençon,61000,ok,orange,1,1,1
Alençon,61000,ok,sfr,1,1,0
Alençon,61000,ok,sfr,1,1,1
Alet-les-Bains,11580,ok,free,0,1,1
Alet-les-Bains,11580,ok,sfr,1,1,1
